sale_date,sku,product_name,category,site,platform,units_sold,revenue,cost,refund_units
2026-01-01,RACK-DEMO-001,龙门架,健身器材,美国站,Amazon,45,31455.00,16200.00,1
2026-01-01,BENCH-DEMO-001,健身凳,健身器材,美国站,Amazon,68,16252.00,9860.00,1
2026-02-01,RACK-DEMO-001,龙门架,健身器材,美国站,Amazon,48,33552.00,17280.00,1
2026-02-01,BENCH-DEMO-001,健身凳,健身器材,美国站,Amazon,65,15535.00,9425.00,1
2026-03-01,RACK-DEMO-001,龙门架,健身器材,美国站,Amazon,53,37047.00,19080.00,1
2026-03-01,BENCH-DEMO-001,健身凳,健身器材,美国站,Amazon,59,14101.00,8555.00,1
2026-04-01,RACK-DEMO-001,龙门架,健身器材,美国站,Amazon,58,40542.00,20880.00,1
2026-04-01,BENCH-DEMO-001,健身凳,健身器材,美国站,Amazon,59,14101.00,8555.00,1
2026-05-01,RACK-DEMO-001,龙门架,健身器材,美国站,Amazon,62,43338.00,22320.00,1
2026-05-01,BENCH-DEMO-001,健身凳,健身器材,美国站,Amazon,55,13145.00,7975.00,1
2026-06-01,RACK-DEMO-001,龙门架,健身器材,美国站,Amazon,69,48231.00,24840.00,1
2026-06-01,BENCH-DEMO-001,健身凳,健身器材,美国站,Amazon,52,12428.00,7540.00,1
2026-01-01,RACK-DEMO-001,龙门架,健身器材,美国站,Amazon,45,31455.00,16200.00,1
2026-99-01,BENCH-DEMO-001,健身凳,健身器材,美国站,Amazon,68,16252.00,9860.00,1
2026-02-01,RACK-DEMO-001,龙门架,健身器材,美国站,Amazon,48,not-a-number,17280.00,1
2026-02-01,,健身凳,健身器材,美国站,Amazon,65,15535.00,9425.00,1
